"DateTime","Price USD","Price BTC","Volume","DateTim","Navigator 5","Navigator 5","Navigator 5"
"2014-06-26 09:38:56",,,,"2014-06-26 09:38:56",588,4803780530699,,14775530,42857143
"2014-07-03 09:38:56",,,,"2014-07-03 09:38:56",638,568920332041,,24713468,714285713
"2014-07-10 09:38:56",,,,"2014-07-10 09:38:56",625,7570735470571,,13319027,57142857
"2014-07-17 09:38:56",,,,"2014-07-17 09:38:56",622,635890873016,,11745846,42857143
"2014-07-24 09:38:56",,,,"2014-07-24 09:38:56",609,9404672861857,,11905259,142857144
"2014-07-31 09:38:56",,,,"2014-07-31 09:38:56",584,5010161289168,,14668874,714285715
"2014-08-07 09:38:56",,,,"2014-08-07 09:38:56",588,4763348214284,,9919386,714285715
"2014-08-14 09:38:56",,,,"2014-08-14 09:38:56",534,1208353174603,,22333378,85714286
"2014-08-21 09:38:56",,,,"2014-08-21 09:38:56",496,37643005952384,,38797648,428571425
"2014-08-28 09:38:56",,,,"2014-08-28 09:38:56",505,562726686508,,20741579,42857143
"2014-09-04 09:38:56",,,,"2014-09-04 09:38:56",482,59087515956264,,19057334,42857143
"2014-09-11 09:38:56",,,,"2014-09-11 09:38:56",477,28514039095705,,18993619,42857143
"2014-09-18 09:38:56",,,,"2014-09-18 09:38:56",438,406029265873,,26223709,42857143
"2014-09-25 09:38:56",,,,"2014-09-25 09:38:56",407,5869745150681,,26037876,14285714
"2014-10-02 09:38:56",,,,"2014-10-02 09:38:56",365,8072693405678,,33736307,14285714
"2014-10-09 09:38:56",,,,"2014-10-09 09:38:56",349,43835863095234,,54163479,571428575
"2014-10-16 09:38:56",,,,"2014-10-16 09:38:56",388,8902177769481,,23640278,285714287
"2014-10-23 09:38:56",,,,"2014-10-23 09:38:56",369,76760714285723,,16072033
"2014-10-30 09:38:56",,,,"2014-10-30 09:38:56",342,5581730378694,,15366404,42857143
"2014-11-06 09:38:56",,,,"2014-11-06 09:38:56",340,17350446428566,,15524938,42857143
"2014-11-13 09:38:56",,,,"2014-11-13 09:38:56",389,6892137896826,,31861805,42857143
"2014-11-20 09:38:56",,,,"2014-11-20 09:38:56",370,710816468254,,24855827,285714287
"2014-11-27 09:38:56",,,,"2014-11-27 09:38:56",375,2301182775556,,19885734,85714286
"2014-12-04 09:38:56",,,,"2014-12-04 09:38:56",376,45435912698423,,11592721
"2014-12-11 09:38:56",,,,"2014-12-11 09:38:56",352,9657373052783,,18825172,285714287
"2014-12-18 09:38:56",,,,"2014-12-18 09:38:56",325,99322307256233,,26498227,714285713
"2014-12-25 09:38:56",,,,"2014-12-25 09:38:56",323,99297271825395,,15498940,714285715
"2015-01-01 09:38:56",,,,"2015-01-01 09:38:56",307,2201572420634,,17510917,14285714
"2015-01-08 09:38:56",,,,"2015-01-08 09:38:56",280,32512222143004,,25652600
"2015-01-15 09:38:56",,,,"2015-01-15 09:38:56",218,79529910714288,,52454620,85714286
"2015-01-22 09:38:56",,,,"2015-01-22 09:38:56",226,4742673611111,,26602691,285714287
"2015-01-29 09:38:56",,,,"2015-01-29 09:38:56",243,93086673742928,,43908495,28571428
"2015-02-05 09:38:56",,,,"2015-02-05 09:38:56",226,33157419187788,,27541188,85714286
"2015-02-12 09:38:56",,,,"2015-02-12 09:38:56",229,72016541189643,,29677321,42857143
"2015-02-19 09:38:56",,,,"2015-02-19 09:38:56",240,0444050699666,,25122766,85714286
"2015-02-26 09:38:56",,,,"2015-02-26 09:38:56",243,2984222432438,,18616591,57142857
"2015-03-05 09:38:56",,,,"2015-03-05 09:38:56",272,7780498557944,,34768286
"2015-03-12 09:38:56",,,,"2015-03-12 09:38:56",289,0310329404794,,37515386,571428575
"2015-03-19 09:38:56",,,,"2015-03-19 09:38:56",270,8015125718986,,28962467,57142857
"2015-03-26 09:38:56",,,,"2015-03-26 09:38:56",252,08226258508037,,25731198,14285714
"2015-04-02 09:38:56",,,,"2015-04-02 09:38:56",249,52124818867944,,21191920,14285714
"2015-04-09 09:38:56",,,,"2015-04-09 09:38:56",245,0581001984126,,21978147,714285713
"2015-04-16 09:38:56",,,,"2015-04-16 09:38:56",224,8506537496964,,22255105
"2015-04-23 09:38:56",,,,"2015-04-23 09:38:56",228,75396299974665,,20478822,57142857
"2015-04-30 09:38:56",,,,"2015-04-30 09:38:56",230,53294661121708,,23694928,42857143
"2015-05-07 09:38:56",,,,"2015-05-07 09:38:56",238,0718284665459,,23826554
"2015-05-14 09:38:56",,,,"2015-05-14 09:38:56",238,9216499484956,,18694003,85714286
"2015-05-21 09:38:56",,,,"2015-05-21 09:38:56",236,40544827484263,,16402374,142857144
"2015-05-28 09:38:56",,,,"2015-05-28 09:38:56",236,35387743326012,,14883119,714285715
"2015-06-04 09:38:56",,,,"2015-06-04 09:38:56",225,39343329420964,,17513916,714285713
"2015-06-11 09:38:56",,,,"2015-06-11 09:38:56",229,74646777950312,,17426046,42857143
"2015-06-18 09:38:56",,,,"2015-06-18 09:38:56",244,60742314791767,,27328033,285714287
"2015-06-25 09:38:56",,,,"2015-06-25 09:38:56",244,7740768849207,,16199687
"2015-07-02 09:38:56",,,,"2015-07-02 09:38:56",258,3822509920635,,26441731,42857143
"2015-07-09 09:38:56",,,,"2015-07-09 09:38:56",279,34054910714286,,51028733,571428575
"2015-07-16 09:38:56",,,,"2015-07-16 09:38:56",283,82485619918697,,35987125,571428575
"2015-07-23 09:38:56",,,,"2015-07-23 09:38:56",281,3295730029382,,22376299,285714287
"2015-07-30 09:38:56",,,,"2015-07-30 09:38:56",287,4189008714257,,23085008,14285714
"2015-08-06 09:38:56",,,,"2015-08-06 09:38:56",277,9906172369297,,29079715,14285714
"2015-08-13 09:38:56",,,,"2015-08-13 09:38:56",264,7634615392649,,24662023,285714287
"2015-08-20 09:38:56",,,,"2015-08-20 09:38:56",238,94479499130742,,33281630,85714286
"2015-08-27 09:38:56",,,,"2015-08-27 09:38:56",224,95059270707756,,34604637,28571428
"2015-09-03 09:38:56",,,,"2015-09-03 09:38:56",230,72651488095238,,19950075,714285713
"2015-09-10 09:38:56",,,,"2015-09-10 09:38:56",239,16769510859595,,20310563,57142857
"2015-09-17 09:38:56",,,,"2015-09-17 09:38:56",231,04769792143867,,17800108,42857143
"2015-09-24 09:38:56",,,,"2015-09-24 09:38:56",232,1367396952444,,18582128,42857143
"2015-10-01 09:38:56",,,,"2015-10-01 09:38:56",237,53902136027497,,18650245,714285713
"2015-10-08 09:38:56",,,,"2015-10-08 09:38:56",243,23860001311712,,18745383,14285714
"2015-10-15 09:38:56",,,,"2015-10-15 09:38:56",256,06923512865626,,27178557,85714286
"2015-10-22 09:38:56",,,,"2015-10-22 09:38:56",273,0036939606821,,28764778,14285714
"2015-10-29 09:38:56",,,,"2015-10-29 09:38:56",307,1556118770707,,50192763
"2015-11-05 09:38:56",,,,"2015-11-05 09:38:56",387,1312360186028,,136975165,2857143
"2015-11-12 09:38:56",,,,"2015-11-12 09:38:56",340,27723695362874,,67859472,14285715
"2015-11-19 09:38:56",,,,"2015-11-19 09:38:56",327,2683251765658,,41901782,14285714
"2015-11-26 09:38:56",,,,"2015-11-26 09:38:56",340,26671987913363,,44807572,428571425
"2015-12-03 09:38:56",,,,"2015-12-03 09:38:56",370,34777926587293,,56449466,14285714
